7a9803cd0986f7672f5736363fd0fc37742341d5789df698b2d371611b4a9a9b
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
04/09/2025,19:13:00,34.090671539307,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:13:10,33.801441192627,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:13:20,33.700874328613,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:13:30,34.895065307617,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:13:40,38.014804840088,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:13:50,44.730140686035,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:14:00,55.63960647583,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:14:10,71.35725402832,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:14:20,91.956123352051,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:14:30,116.1900100708,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:14:40,146.66351318359,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:14:50,176.10487365723,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:15:00,199.09535217285,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:15:10,217.09086608887,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:15:20,231.2186126709,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:15:30,241.91932678223,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:15:40,249.67549133301,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:15:50,255.35455322266,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:16:00,260.68948364258,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:16:10,264.43881225586,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:16:20,265.35171508789,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:16:30,266.25900268555,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:16:40,265.32263183594,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:16:50,264.58596801758,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:17:00,264.69439697266,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:17:10,263.50390625,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:17:20,261.52017211914,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:17:30,259.54296875,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:17:40,257.85095214844,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:17:50,255.6767578125,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:18:00,253.28274536133,0,200,0,0,0,0,0,4,0,1,0
04/09/2025,19:18:10,250.74536132812,0,200,0,0,0,0,0,4,0,1,0
