aea4a57c0e4dc2080ec9102f7e31e9555d31a1f3bd94351309985807be9d58f9
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
04/09/2025,19:37:00,45.974048614502,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:37:10,45.241138458252,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:37:20,46.187183380127,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:37:30,48.321598052979,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:37:40,52.185733795166,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:37:50,59.554168701172,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:38:00,71.137084960938,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:38:10,88.383865356445,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:38:20,109.13780975342,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:38:30,135.5915222168,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:38:40,165.66065979004,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:38:50,199.69848632812,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:39:00,236.50999450684,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:39:10,272.34240722656,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:39:20,312.09014892578,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:39:30,352.2272644043,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:39:40,391.5807800293,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:39:50,428.47055053711,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:40:00,463.50662231445,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:40:10,497.03765869141,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:40:20,525.88323974609,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:40:30,553.88000488281,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:40:40,572.36541748047,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:40:50,580.24383544922,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:41:00,587.08166503906,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:41:10,591.53674316406,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:41:20,594.14501953125,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:41:30,595.48309326172,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:41:40,596.70562744141,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:41:50,597.91198730469,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:42:00,598.75378417969,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:42:10,599.06158447266,0,600,0,0,0,0,0,4,0,1,0
04/09/2025,19:42:20,600.43420410156,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:42:30,574.29760742188,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:42:40,502.7688293457,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:42:50,446.76968383789,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:43:00,403.10305786133,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:43:10,370.32604980469,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:43:20,344.11129760742,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:43:30,319.48110961914,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:43:40,299.93127441406,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:43:50,280.74520874023,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:44:00,264.34008789062,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:44:11,250.30610656738,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:44:20,238.6268157959,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:44:30,227.1241607666,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:44:40,217.37258911133,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:44:50,208.28114318848,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:45:00,199.23875427246,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:45:10,191.20732116699,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:45:20,184.33551025391,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:45:30,178.33734130859,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:45:40,172.67124938965,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:45:50,166.9493560791,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:46:00,161.89855957031,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:46:10,157.05699157715,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:46:20,151.77996826172,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:46:30,147.44985961914,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:46:40,141.99523925781,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:46:50,138.44352722168,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:47:00,136.29684448242,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:47:10,132.60443115234,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:47:20,129.30068969727,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:47:30,126.06942749023,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:47:40,123.160987854,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:47:50,119.36768341064,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:48:00,117.48435974121,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:48:10,115.20933532715,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:48:20,112.7679977417,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:48:30,110.11991882324,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:48:40,109.14517974854,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:48:50,107.75659179688,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:49:00,105.02902984619,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:49:10,103.84250640869,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:49:20,101.46166992188,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:49:30,99.827835083008,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:49:40,96.905090332031,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:49:50,95.521270751953,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:50:00,94.664947509766,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:50:10,93.433029174805,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:50:20,92.803619384766,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:50:30,91.049118041992,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:50:40,89.677200317383,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:50:50,88.408294677734,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:51:00,86.951515197754,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:51:10,85.854347229004,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:51:20,84.157745361328,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:51:30,82.953491210938,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:51:40,81.511749267578,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:51:50,80.507133483887,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:52:00,79.974311828613,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:52:10,79.747802734375,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:52:20,79.112724304199,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:52:30,77.907020568848,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:52:40,76.798721313477,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:52:50,76.121475219727,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:53:00,74.792526245117,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:53:10,73.702621459961,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:53:20,72.547203063965,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:53:30,72.210777282715,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:53:40,71.728256225586,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:53:50,70.880653381348,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:54:00,69.924919128418,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:54:10,69.160308837891,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:54:20,68.362907409668,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:54:30,67.807586669922,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:54:40,67.13037109375,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:54:50,66.895942687988,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:55:00,66.022361755371,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:55:10,65.5751953125,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:55:20,64.999504089355,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:55:30,64.37003326416,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:55:40,63.573097229004,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:55:50,63.429542541504,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:56:00,62.911483764648,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:56:11,61.994926452637,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:56:20,61.208042144775,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:56:30,60.785293579102,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:56:40,60.325275421143,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:56:50,60.106781005859,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:57:00,59.759941101074,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:57:10,59.577033996582,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:57:20,58.583587646484,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:57:30,58.024269104004,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:57:40,57.782279968262,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,19:57:50,57.479682922363,0,0,0,0,0,0,0,4,0,1,0
