3d8d7ede424718e7d27c9cc47e70cd0e94d54ab11814472362f2d950dea33e49
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
04/09/2025,18:41:37,18.223043441772,0,0,0,0,0,0,0,4,0,1,0
04/09/2025,18:41:47,18.235898971558,0,24.128694534302,0,0,0,0,0,4,0,1,0
04/09/2025,18:41:57,18.393270492554,0,30.301610946655,0,0,0,0,0,4,0,1,0
04/09/2025,18:42:07,19.105550765991,0,36.133689880371,0,0,0,0,0,4,0,1,0
04/09/2025,18:42:17,21.586835861206,0,42.382347106934,0,0,0,0,0,4,0,1,0
04/09/2025,18:42:27,27.301380157471,0,48.441654205322,0,0,0,0,0,4,0,1,0
04/09/2025,18:42:37,36.431739807129,0,54.311603546143,0,0,0,0,0,4,0,1,0
04/09/2025,18:42:47,48.235614776611,0,60.295166015625,0,0,0,0,0,4,0,1,0
04/09/2025,18:42:57,61.345973968506,0,66.505950927734,0,0,0,0,0,4,0,1,0
04/09/2025,18:43:07,72.907760620117,0,72.375907897949,0,0,0,0,0,4,0,1,0
04/09/2025,18:43:17,83.980178833008,0,78.624565124512,0,0,0,0,0,4,0,1,0
04/09/2025,18:43:27,93.132743835449,0,84.873222351074,0,0,0,0,0,4,0,1,0
04/09/2025,18:43:37,100.8797454834,0,90.705299377441,0,0,0,0,0,4,0,1,0
04/09/2025,18:43:47,108.30604553223,0,96.916084289551,0,0,0,0,0,4,0,1,0
04/09/2025,18:43:57,114.11784362793,0,102.74816894531,0,0,0,0,0,4,0,1,0
04/09/2025,18:44:07,119.41464996338,0,108.95895385742,0,0,0,0,0,4,0,1,0
04/09/2025,18:44:17,123.8611907959,0,115.20761108398,0,0,0,0,0,4,0,1,0
04/09/2025,18:44:27,127.6332321167,0,121.03968811035,0,0,0,0,0,4,0,1,0
04/09/2025,18:44:37,130.53105163574,0,127.28834533691,0,0,0,0,0,4,0,1,0
04/09/2025,18:44:47,133.03942871094,0,133.12042236328,0,0,0,0,0,4,0,1,0
04/09/2025,18:44:57,135.73210144043,0,139.36907958984,0,0,0,0,0,4,0,1,0
04/09/2025,18:45:07,139.48876953125,0,145.201171875,0,0,0,0,0,4,0,1,0
04/09/2025,18:45:17,144.0920715332,0,151.37408447266,0,0,0,0,0,4,0,1,0
04/09/2025,18:45:27,149.69465637207,0,157.20616149902,0,0,0,0,0,4,0,1,0
04/09/2025,18:45:37,156.46789550781,0,163.45481872559,0,0,0,0,0,4,0,1,0
04/09/2025,18:45:47,163.81030273438,0,169.62773132324,0,0,0,0,0,4,0,1,0
04/09/2025,18:45:57,171.19844055176,0,175.4598236084,0,0,0,0,0,4,0,1,0
04/09/2025,18:46:07,178.74575805664,0,181.67060852051,0,0,0,0,0,4,0,1,0
04/09/2025,18:46:17,185.81904602051,0,187.91926574707,0,0,0,0,0,4,0,1,0
04/09/2025,18:46:27,191.78723144531,0,193.71347045898,0,0,0,0,0,4,0,1,0
04/09/2025,18:46:37,196.91246032715,0,199.96212768555,0,0,0,0,0,4,0,1,0
04/09/2025,18:46:47,200.89805603027,0,200,0,0,0,0,0,4,0,2,0
04/09/2025,18:46:57,204.80587768555,0,200,0,0,0,0,0,4,0,2,0
04/09/2025,18:47:07,207.44653320312,0,200,0,0,0,0,0,4,0,2,0
04/09/2025,18:47:17,208.73442077637,0,200,0,0,0,0,0,4,0,2,0
04/09/2025,18:47:27,209.70059204102,0,200,0,0,0,0,0,4,0,2,0
04/09/2025,18:47:37,210.06889343262,0,200,0,0,0,0,0,4,0,2,0
04/09/2025,18:47:47,210.34510803223,0,200,0,0,0,0,0,4,0,2,0
04/09/2025,18:47:57,210.22695922852,0,200,0,0,0,0,0,4,0,2,0
