f711514d61e19333da0dea951066496b163303cf7c980ce7db9b42a721fde312
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
10/29/2025,12:21:39,20.207849502563,0,0,0,0,0,0,0,3,0,1,0
10/29/2025,12:21:49,20.473558425903,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:21:59,22.55046081543,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:22:09,27.759349822998,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:22:19,35.81164932251,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:22:29,47.827026367188,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:22:39,64.390830993652,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:22:49,82.535400390625,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:22:59,105.78667449951,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:23:09,129.3205871582,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:23:19,153.55981445312,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:23:29,181.11752319336,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:23:39,208.48094177246,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:23:49,239.04321289062,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:23:59,267.33166503906,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:24:09,296.08847045898,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:24:19,324.83337402344,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:24:29,351.96551513672,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:24:39,378.76202392578,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:24:49,402.78979492188,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:24:59,425.55004882812,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:25:09,445.97634887695,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:25:19,463.80950927734,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:25:29,474.68017578125,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:25:39,480.19793701172,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:25:49,483.3642578125,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:25:59,486.19024658203,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:26:09,489.2053527832,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:26:19,491.22082519531,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:26:29,493.32397460938,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:26:39,494.57705688477,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:26:49,496.86053466797,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:26:59,498.24072265625,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:27:09,498.19403076172,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:27:19,498.40057373047,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:27:29,498.99887084961,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,12:27:39,499.65097045898,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:15:11,122.30249786377,0,0,0,0,0,0,0,3,0,1,0
10/29/2025,15:15:21,125.64640808105,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:15:31,131.66487121582,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:15:41,140.71267700195,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:15:51,153.99380493164,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:16:01,171.88668823242,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:16:11,193.38690185547,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:16:21,216.19575500488,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:16:31,243.1266784668,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:16:41,269.66152954102,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:16:51,299.99087524414,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:17:01,328.20834350586,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:17:11,358.62347412109,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:17:21,385.75296020508,0,500,0,0,0,0,0,3,0,2,0
