fd52adb2d883850c831b1c2b984f6afae53d9d2de64aa48e8810206ed1a89e33
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
10/28/2025,14:46:16,78.203956604004,0,0,0,0,0,0,0,3,0,1,0
10/28/2025,14:46:26,78.505592346191,0,300,0,0,0,0,0,3,0,2,0
10/28/2025,14:49:10,69.677421569824,0,0,0,0,0,0,0,3,0,1,0
10/28/2025,14:49:20,70.70288848877,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:49:30,75.478507995605,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:49:40,83.333206176758,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:49:50,95.903335571289,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:50:00,111.82423400879,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:50:10,130.87405395508,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:50:20,154.50057983398,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:50:30,179.7804107666,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:50:40,208.73645019531,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:50:50,237.75086975098,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:51:00,269.45184326172,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:51:10,299.96469116211,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:51:20,329.4284362793,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:51:30,359.95034790039,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:51:40,381.44235229492,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:51:50,394.60528564453,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:52:00,402.30438232422,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:52:10,405.81381225586,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:52:20,407.10739135742,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:52:30,406.50524902344,0,400,0,0,0,0,0,3,0,2,0
10/28/2025,14:52:40,404.81774902344,0,400,0,0,0,0,0,3,0,2,0
