3082bbd6964d8736242a92e6bce74ddde71c71b25ee4db62a3fb08ba2db36abf
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
10/28/2025,16:59:16,113.5061416626,0,0,0,0,0,0,0,3,0,1,0
10/28/2025,16:59:26,118.64533233643,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,16:59:36,126.22010040283,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,16:59:46,137.6434173584,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,16:59:56,154.2799987793,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:00:06,173.58038330078,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:00:16,197.30239868164,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:00:26,222.78759765625,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:00:36,252.24496459961,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:00:46,281.45257568359,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:00:56,311.47933959961,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:01:06,343.81884765625,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:01:16,374.70007324219,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:01:26,403.40393066406,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:01:36,430.43753051758,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:01:46,456.99203491211,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:01:56,475.02526855469,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:02:06,484.44262695312,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:02:16,488.92687988281,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:02:26,491.90225219727,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:02:36,493.97015380859,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:02:46,495.34185791016,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:02:56,496.58282470703,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:03:06,497.48825073242,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:03:16,498.17767333984,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:03:26,498.62176513672,0,500,0,0,0,0,0,3,0,2,0
10/28/2025,17:03:36,499.09725952148,0,500,0,0,0,0,0,3,0,2,0
