8930e7f1e2a0e30588e4f64357eb658e39a13a8a5b69ed0f9f0b7b2ce08ddc3a
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
10/29/2025,18:21:08,81.941047668457,0,0,0,0,0,0,0,3,0,1,0
10/29/2025,18:21:18,85.401863098145,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:21:28,91.793983459473,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:21:38,102.46091461182,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:21:48,116.30438995361,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:21:58,134.18954467773,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:22:08,157.01846313477,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:22:18,181.31069946289,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:22:28,208.2992401123,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:22:38,239.34530639648,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:22:48,268.43869018555,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:22:58,290.98358154297,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:23:08,307.22442626953,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:23:18,318.83984375,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:23:28,327.68978881836,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:23:38,333.39782714844,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:23:48,337.04992675781,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:23:58,339.25491333008,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:24:08,340.61126708984,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:24:18,340.54708862305,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:24:28,339.478515625,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:24:38,337.77908325195,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:24:48,335.84579467773,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:24:58,333.96878051758,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:25:08,331.41040039062,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:25:18,328.99713134766,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:25:28,326.79345703125,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:25:38,324.9817199707,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:25:48,322.88873291016,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:25:58,320.64935302734,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:26:08,318.48635864258,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:26:18,316.49169921875,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:26:28,314.40606689453,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:26:38,312.4697265625,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:26:48,310.65545654297,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:26:58,308.61325073242,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:27:08,307.15859985352,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:27:18,305.68115234375,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:27:28,304.29992675781,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:27:38,303.11248779297,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:27:48,302.08163452148,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:27:58,301.60577392578,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:28:08,301.43173217773,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:28:18,301.29925537109,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:28:28,301.18139648438,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:28:38,301.33404541016,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:28:48,301.46502685547,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:28:58,301.45007324219,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:29:08,301.40798950195,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:29:18,301.33169555664,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:29:28,300.87145996094,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:29:38,300.36834716797,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:29:48,299.99069213867,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:29:58,299.80627441406,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:30:08,299.66229248047,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:30:18,299.62524414062,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:30:28,299.77108764648,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:30:38,299.88320922852,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:30:48,300.05615234375,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:30:58,299.92395019531,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:31:08,300.09478759766,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:31:18,300.21780395508,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:31:28,300.31964111328,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:31:38,300.48526000977,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:31:48,300.49798583984,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:31:58,300.53491210938,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:32:08,300.41058349609,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:32:18,300.16516113281,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:32:28,299.82968139648,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:32:38,299.50350952148,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:32:48,299.47787475586,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:32:58,299.46810913086,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:33:08,299.65548706055,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:33:18,299.82061767578,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:33:28,299.68374633789,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:33:38,300.03335571289,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:33:48,300.36318969727,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:33:58,300.67044067383,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:34:08,300.81533813477,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:34:18,300.5842590332,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:34:28,300.45971679688,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:34:38,300.12603759766,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:34:48,299.81381225586,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:34:58,299.74282836914,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:35:08,299.70422363281,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:35:18,299.80621337891,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:35:28,300.05111694336,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:35:38,300.08544921875,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:35:48,300.04821777344,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:35:58,299.95776367188,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:36:08,300.0537109375,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:36:18,299.84094238281,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:36:28,299.75186157227,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:36:38,300.03964233398,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:36:48,300.15075683594,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:36:58,300.27508544922,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:37:08,300.2575378418,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:37:18,300.1328125,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:37:28,299.76315307617,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:37:38,299.65393066406,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:37:48,299.54663085938,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:37:58,299.31405639648,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:38:08,299.50036621094,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:38:18,299.83959960938,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:38:28,300.26119995117,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:38:38,300.59188842773,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:38:48,300.83383178711,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:38:58,300.77160644531,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:39:08,300.53454589844,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:39:18,300.38153076172,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:39:28,300.30990600586,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:39:38,299.81060791016,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:39:48,299.70440673828,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:39:58,299.68493652344,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:40:08,299.67678833008,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:40:18,299.59204101562,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:40:28,299.43493652344,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:40:38,299.46612548828,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:40:48,299.89434814453,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:40:58,300.19268798828,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:41:08,300.39379882812,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:41:18,300.41363525391,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:41:28,300.53555297852,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:41:38,300.57781982422,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:41:48,300.47277832031,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:41:58,300.36099243164,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:42:08,300.12313842773,0,300,0,0,0,0,0,3,0,2,0
10/29/2025,18:42:18,300.03674316406,0,300,0,0,0,0,0,3,0,2,0
