dbf8818bd72c247ec2ff76af8f3a74e51179525bae3f6f082977310b08a8ee63
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
10/29/2025,20:50:24,70.171844482422,0,0,0,0,0,0,0,3,0,1,0
10/29/2025,20:50:34,70.603874206543,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:50:44,74.196517944336,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:50:54,81.331176757812,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:51:04,91.67993927002,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:51:14,107.005027771,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:51:24,125.00054931641,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:51:34,147.2269744873,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:51:44,172.87393188477,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:51:54,198.80729675293,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:52:04,229.07159423828,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:52:14,258.28607177734,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:52:24,289.76986694336,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:52:34,319.25366210938,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:52:44,349.76318359375,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:52:54,375.49417114258,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:53:04,390.47787475586,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:53:14,399.30679321289,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:53:24,404.20404052734,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:53:34,406.19616699219,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:53:44,406.15380859375,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:53:54,404.6266784668,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:54:04,401.81423950195,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:54:14,399.42047119141,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:54:24,397.67666625977,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:54:34,396.94165039062,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:54:44,397.34140014648,0,400,0,0,0,0,0,3,0,2,0
10/29/2025,20:54:54,398.59097290039,0,400,0,0,0,0,0,3,0,2,0
