598a4e29cc52b255835db5915ae05ad8eb92e0ce984be9537b98a0aa62eaf34c
Date,Time,Main_Controller_PV,QF,Main_Controller_Working_SP,QF,Running_Program_Data.Event1,QF,Running_Program_Data.Event2,QF,Running_Program_Data.ProgramNumber,QF,Running_Program_Data.SegmentNumber,QF
10/29/2025,15:37:30,84.945755004883,0,0,0,0,0,0,0,3,0,1,0
10/29/2025,15:37:40,89.291198730469,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:37:50,95.816947937012,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:38:00,106.87390899658,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:38:10,120.89008331299,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:38:20,140.48393249512,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:38:30,161.96151733398,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:38:40,188.08670043945,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:38:50,214.72268676758,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:39:00,245.69276428223,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:39:10,277.32196044922,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:39:20,307.50231933594,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:39:30,338.12445068359,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:39:40,368.87408447266,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:39:50,396.45510864258,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:40:00,424.87170410156,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:40:10,450.04302978516,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:40:20,469.26791381836,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:40:30,480.67141723633,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:40:40,485.66720581055,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:40:50,489.25888061523,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:41:00,491.08547973633,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:41:10,492.97897338867,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:41:20,494.36831665039,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:41:30,495.99551391602,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:41:40,497.1516418457,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:41:50,497.86474609375,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:42:00,498.61825561523,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:42:10,499.03005981445,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:42:20,499.42962646484,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:42:30,500.01818847656,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:42:40,500.17272949219,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:42:50,500.22760009766,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:43:00,500.33587646484,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:43:10,500.44134521484,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:43:20,500.60479736328,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:43:30,500.72750854492,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:43:40,500.83309936523,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:43:50,500.65658569336,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:44:00,500.650390625,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:44:10,500.55123901367,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:44:20,500.59063720703,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:44:30,500.47079467773,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:44:40,500.4899597168,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:44:50,500.62377929688,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:45:00,500.62503051758,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:45:10,500.69030761719,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:45:20,500.61260986328,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:45:30,500.4921875,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:45:40,500.37127685547,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:45:50,500.43505859375,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:46:00,500.49957275391,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:46:10,500.41320800781,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:46:20,500.1416015625,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:46:30,500.27142333984,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:46:40,500.50616455078,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:46:50,500.45104980469,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:47:00,500.07867431641,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:47:10,500.08178710938,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:47:20,500.27944946289,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:47:30,500.36907958984,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:47:40,500.06231689453,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:47:50,500.17593383789,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:48:00,500.29113769531,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:48:10,500.11944580078,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:48:20,500.03164672852,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:48:30,499.99096679688,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:48:40,500.20761108398,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:48:50,500.24197387695,0,500,0,0,0,0,0,3,0,2,0
10/29/2025,15:49:00,500.27130126953,0,500,0,0,0,0,0,3,0,2,0
